,precision,recall,f1-score,support
Coccidiosis,0.9812834224598931,0.9532467532467532,0.9670619235836627,385.0
Healthy,0.9228650137741047,0.9279778393351801,0.925414364640884,361.0
New Castle Disease,0.8290598290598291,0.9509803921568627,0.8858447488584474,102.0
Salmonella,0.9664948453608248,0.9517766497461929,0.959079283887468,394.0
accuracy,0.9452495974235104,0.9452495974235104,0.9452495974235104,0.9452495974235104
macro avg,0.9249257776636629,0.9459954086212473,0.9343500802426155,1242.0
weighted avg,0.94711067572929,0.9452495974235104,0.9457542902176275,1242.0
